
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新游戏
victory_adviserwarning_toomanyescapes2  封锁这里并确保没有其他人再逃逸，否则舆论会期待你的头成盘中餐的。
victory_advisernotice_toomanyescapes1   你已经失败了。这座监狱成了媒体的笑柄，他们需要指责某人。
victory_advisernotice_toomanyescapes2   那个人就是你。你被解雇了。
victory_adviserwarning_bankrupt1        我们破产了！你糟糕的管理能力把监狱弄得入不敷出。
victory_adviserwarning_bankrupt2        快点找到一个方法来解决这个问题，否则你会被解雇。
victory_advisernotice_bankrupt1         我们不得不宣布破产，把这座监狱交给政府管理。你已经失败了。
victory_adviserwarning_wardendeaths1    这个监狱的工作风险实在太高了。我们很难再找到愿意在这儿当典狱长的人。
victory_adviserwarning_wardendeaths2    如果你再让典狱长死掉，我们只好让你走人了。
victory_advisernotice_wardendeaths1     你没法为典狱长提供安全的工作环境。没人敢给你工作了。
victory_advisernotice_wardendeaths2     我们别无选择。你被解雇了。
victory_adviserwarning_reoffenders1     许多你提前释放的犯人又再次犯罪了，如果不能对这种情况加以控制，我们将会损失惨重。
victory_adviserwarning_reoffenders2     如果太多犯人被释放后再次犯罪，你将成为众矢之的。
victory_advisernotice_reoffenders1      你放走了太多危险罪犯。我们只能解雇你。你失败了。
victory_adviserwarning_executions1      这是你第二次处死无辜的犯人了。你引起了公众的强烈不满。
victory_adviserwarning_executions2      如果再有无辜的犯人被处死，你要负责。
victory_advisernotice_executions1       你让太多无辜的犯人被处死了。我们不能再让你管理这个监狱。你失败了。
victory_advisernotice_InnocentsExecuted1 你没有依照正当的程序处死犯人，而事实上他们是无辜的。这显然不是正义的体现。你被解雇了。你还可能因此入狱。

score_title                             监狱的评价
score_reoffendingrate                   再犯率
score_prisonersreleased                 *X 犯人被释放了
score_minimumprisonersreleased          必须有 *X 犯人被释放后才能得到报告
score_deaths                            *X犯人死于监禁
score_escapes                           *X犯人逃走
score_reoffendingchance                 预计再犯几率
score_startingreoffendingchance         预计到达：*X%
score_prisonersparoled                  提前假释数（再犯）
score_prisonersparoled_info             *P (*E%)
score_clemencychance                    获得宽恕的可能性
score_convictionstrength                国家批准的定罪力度
score_prisonersexecuted                 处死犯人数（无辜）
score_prisonersexecuted_info            *E (*I)

score_tooltip_punishment                这是公众对犯人为他的罪行所受惩罚程度的评级。长期在监狱中服刑是强有力的惩罚的基础，但是关禁闭的时间也会计入其中。\n\n记住，过多的改革或自由时间会被认为是“对犯罪的软弱”，这不利于惩罚程度评级。\n\n强有力的惩罚分数可以让犯人出狱后不敢再次犯罪。
score_tooltip_reform                    对你改造犯人的尝试的评级。\n\n高改造分数可以让犯人出狱后更有可能找到工作，从而降低他们再次犯罪的几率。\n\n注意：让你的犯人在监狱周围工作也会计入其中。
score_tooltip_health                    对犯人在你监狱服刑期间的健康和幸福程度的记录。户外运动以及美味的食物会计入其中。没有得到医治的伤病、吸食毒品及饮酒对其不利。\n\n此项得分过低会增加犯人再犯的几率，尤其是出狱前没能戒掉对毒品或酒精依赖的犯人。
score_tooltip_security                  对你是否安全管理监狱的评级。将犯人关押在有武装警卫看守的牢房里会大量增加此项得分。如果犯人参与斗殴、谋杀或越狱，得分会受到惩罚。\n\n过低的得分表明犯人再入狱后仍存在犯罪行为，因此出狱后再犯的几率极高。

score_tooltip_reoffendingchance         对犯人出狱后再次犯罪几率的评估。这项评估的数值参考了许多因素：\n\n——降低：严厉的惩罚\n——降低：成功的改造课程\n——增长：健康或安全状况不佳\n——增长：未得到治疗的毒品或酒精上瘾\n\n——犯人的年龄是主要的因素。\n——前科的数量是重要的指标。\n——家人的支持很有帮助。
score_tooltip_clemencychance_title      获得宽恕的可能性
score_tooltip_clemencychance            上诉委员会对配判处死刑的犯人宽恕和减刑的可能性。每次失败的上诉会降低这个数值，直到数值低于国家批准的定罪力度，这是你会被批准执行。如果你在此之前安排行刑而之后发现犯人的上诉可能成功，会受到严厉的惩罚。\n\n如果犯人获得宽恕，他会被立即释放（如果发现他是无辜的），或者被转移去最安全的监狱（如果任然判定他有罪。）
score_tooltip_currentchance             国家批准的定罪力度是*X%
score_tooltip_clemencywarning           这个犯人获得宽恕的几率现在高于国家批准的安全等级。如果你执行死刑而事后发现他会得到宽恕，你要为此负全责。

experiencefactor_FractionalLockedUp     *X% 持续关押
experiencefactor_FractionalReform       *X% 持续劳改
experiencefactor_fractionalWorking      *X% 持续工作
experiencefactor_fractionalsuppressed   *X% 持续被压制
experiencefactor_fractionalinjured      *X% 持续带有未处理的损伤
experiencefactor_fractionalintoxicated  *X% 持续处于醉瘾状态（毒品/酗酒/戒毒）
experiencefactor_fractionalmisbehaving  *X% 持续不遵守规矩
experiencefactor_fractionalarmedguard   *X% 持续被看守或被压制
experiencefactor_fractionalwellfed      *X% 持续吃得好
experiencefactor_fractionalexercising   *X% 持续锻炼
experiencefactor_fractionalfreetime     *X%狱中自由时间

experiencefactor_passedeasyprograms             通过 *X 简易程序
experiencefactor_passedintermediateprograms     通过*X中等程序
experiencefactor_passedadvancedprograms         通过*X高级程序
experiencefactor_passedexpertprograms           通过*X专家程序

experiencefactor_YearsServed            服刑 *X 年
experiencefactor_fights                 参与暴力事件
experiencefactor_murders                在你的监狱中犯下*X次谋杀事件
experiencefactor_escapeattempts         尝试逃跑*X次
experiencefactor_addictions             *X种成瘾症状
experiencefactor_gangmembership         帮派成员

legend_key                              钥匙：

needs_graphscale_title                  囚犯数：
needs_key_critical                      情况严重
needs_key_high                          高
needs_key_med                           中
needs_key_satisfied                     身心满足
needs_key_active                        活跃

contraband_supplyanddemand              补给与需求
contraband_narcotics                    麻醉剂
contraband_weapons                      武器
contraband_tools                        工具
contraband_luxuries                     奢侈享受
contraband_metal                        金属
contraband_smelly                       气味难闻
contraband_rangedweapon                 远程武器
contraband_improvised                   临时性的

contraband_key_supply                   补给与需求
contraband_key_demand                   需求
contraband_log_stolen                   被偷
contraband_log_position                 位置
contraband_log_smuggled                 走私
contraband_log_thrown                   扔掉
contraband_log_hidden                   藏起
contraband_log_detected                 被发现
contraband_log_dog                      警犬
contraband_log_found                    找到
contraband_log_owner                    主人

schedule_zone_shared                    共享
schedule_zone_minseconly                低级安保
schedule_zone_medseconly                中级安保
schedule_zone_maxseconly                高级安保
schedule_zone_protectedonly             保护性拘留
schedule_zone_supermaxonly              最大
schedule_zone_deathrowonly              死囚
schedule_zone_staffonly                 员工通道
schedule_zone_unlocked                  已解锁



# =============================================================================
# Needs / Actions / Bio etc
# =============================================================================

action_poo                              大便
action_wee                              小便
action_wash                             淋浴中
action_relax                            放松中
action_sleep                            睡觉中
action_nap                              打盹中
action_getmeal                          取食物中
action_sit                              坐着
action_exercise                         锻炼中
action_liftweights                      举重中
action_phonehome                        与家人通话中
action_watchtv                          看电视中
action_playpool                         打台球中
action_stealknife                       行为可疑
action_stealspoon                       行为可疑
action_urinate                          尿裤子
action_soilsuit                         弄脏衣服
action_eat                              吃饭中
action_complain                         抱怨中
action_work                             工作中
action_visitation                       探视中
action_parole                           假释听证会
action_none                             无
action_misbehaving                      行为不端
action_escaping                         越狱
action_destroying                       破坏
action_spoiling                         惯坏
action_fighting                         打架
action_rioting                          暴乱
action_hostagetaking                    人质扣留
action_reformprogram                    劳改程序
action_changeclothes                    换衣服
action_getbook                          取得书本
action_pray                             祈祷
action_shopping                         购物

status_effect_title                     =[状态效果]=
status_effect_none                      无
status_effect_suppressed                被镇压
status_effect_goodfood                  饮食良好
status_effect_drunk                     醉酒
status_effect_high                      嗨翻了
status_effect_withdrawal                戒毒
status_effect_tazed                     电晕
status_effect_overdosed                 过量服入
status_effect_surrendered               投降
status_effect_calming                   宣称
status_effect_angst                     愤怒

experience_totaltime                    总时间
experience_misconduct                   不当行为
experience_lockeddown                   锁闭
experience_regime                       管理制度
experience_sleep                        睡觉
experience_work                         工作
experience_class                        上课
experience_freetime                     空闲时间
experience_moodbad                      坏
experience_moodnormal                   一般
experience_moodgood                     好
experience_nocondition                  无
experience_kod                          被打倒
experience_hurt                         受伤
experience_suppressed                   被镇压
experience_intoxicated                  酒醉
experience_wellfed                      饮食良好
experience_exercise                     锻炼

need_name_nothing                       什么都没有
need_name_bladder                       小便
need_name_bowels                        大便
need_name_sleep                         睡觉
need_name_food                          食物
need_name_safety                        安全
need_name_hygiene                       卫生
need_name_exercise                      锻炼
need_name_family                        家庭
need_name_recreation                    娱乐
need_name_comfort                       舒适
need_name_environment                   环境
need_name_privacy                       隐私
need_name_freedom                       自由
need_name_clothing                      衣服
need_name_drugs                         毒品
need_name_alcohol                       酒精
need_name_starving                      挨饿
need_name_spirituality                  精神
need_name_literacy                      文化
needs_locked                            （需要心理学家来显示犯人的需求）
needs_title                             =[需求]=

reputation_title                        特性
reputation_hidden                       （未知特性）
reputation_hidden_short                 ???

reputation_legendary                    --传奇--
reputation_strong                       强壮
reputation_tough                        强硬
reputation_volatile                     轻浮
reputation_snitch                       告密
reputation_deadly                       致命
reputation_stoical                      坚韧
reputation_fearless                     无惧
reputation_exlaw                        前执法员
reputation_copkiller                    警察杀手
reputation_quick                        快速
reputation_instigator                   教唆犯
reputation_fighter                      经验丰富的战士
reputation_gangmember                   帮派成员

reputation_strong_high                  极其强壮
reputation_tough_high                   极其强硬
reputation_volatile_high                极其轻浮
reputation_deadly_high                  极其致命
reputation_exlaw_high                   前狱卒
reputation_quick_high                   极其快速
reputation_fighter_high                 专业战士

reputation_legendary_high               --传奇--
reputation_snitch_high                  告密
reputation_stoical_high                 坚韧
reputation_fearless_high                无惧
reputation_copkiller_high               警察杀手
reputation_instigator_high              教唆犯
reputation_gangmember_high              帮派成员

reputationtooltip_legendary             这名罪犯是犯罪世界中的有一个传奇人物，拥有多种技能与能力，他极其危险。
reputationtooltip_strong                这名罪犯在打架中力气更大
reputationtooltip_tough                 这名罪犯能在打架中承受更多的惩罚。他有时候也能承受来自电击枪的打击。
reputationtooltip_volatile              这名犯人极易毫无预兆或没有理由的发狂。
reputationtooltip_stoical               这名罪犯在被独自关押的时候不会感到被压制。他丝毫不在意。
reputationtooltip_snitch                这名罪犯是名消息通，因此他的生命也许受到来自其他罪犯的威胁。不要将他和其他罪犯放在一起太久。
reputationtooltip_deadly                这名犯人精通致命格斗动作，有时可以一击致人死地。
reputationtooltip_exlaw                 这名罪犯曾经是一个警察或者其他执法人员。他的性命可能受到威胁。
reputationtooltip_copkiller             这名罪犯因谋杀一名警察而获刑入狱。你的狱卒可能在看守他的时候无法控制自己而对其大加拳脚。
reputationtooltip_fearless              这名罪犯不会受到武装看守的威吓，并且在打斗中比较不会轻易投降。
reputationtooltip_quick                 这名罪犯跑得特别快。
reputationtooltip_instigator            这名罪犯在其周围引发普遍情绪不满。当他闹事的时候，周围的囚犯也很可能做同样的事。
reputationtooltip_fighter               这名犯人擅长防御格斗动作。他可以缴械对手，甚至在打斗中夺走对方武器。
reputationtooltip_gangmember            这名犯人属于一个帮派。它会保护同帮派的成员并且怀有对敌对帮派的仇恨。


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_working                       工作
nameplate_stationed                     站岗
nameplate_patrolling                    巡逻中
nameplate_resting                       休息
nameplate_tired                         精疲力竭
nameplate_injured                       受伤
nameplate_unconscious                   晕厥
nameplate_dead                          死亡
nameplate_released                      已释放
nameplate_researching                   研究中
nameplate_overdose                      过度服用
nameplate_starving                      饥饿


# =============================================================================
# Objectives, Grants
# =============================================================================

objective_feedallprisoners              喂饱所有囚犯
objective_caption_prisoners             囚犯
objective_caption_meals                 餐食
objective_readceosletter                读首席执行官的来信
objective_actionrequired                事件报告

objective_deathrowinmates               死刑犯状态

objective_prisonerintake                收监量
objective_intake_arrivals               上午8点有 *X 个犯人要来
objective_intake_closed                 监狱不再接收新的犯人
objective_intake_closed2                （见该囚犯的报告）
objective_intake_closed3                （检视收入报表）
objective_intake_specials               特别转移：
objective_intake_categories             种类：
objective_intake_minsec                 低危险度，
objective_intake_medsec                 中危险度，
objective_intake_maxsec                 高危险度
objective_intake_deathrow               死囚

objective_builddeliveriesroom           设定配送区域

objective_outgoing                      即将释放的囚犯
objective_outgoing_count                *X 罪犯即将被释放
objective_outgoing_timer                (*X 小时)

objective_visitors                      访客（上午8点——下午8点）
objective_visitors_waiting              有 *X 个家庭等待探视
objective_visitors_onsite               监狱里来了 *Y 个团体共 *X 人的探视者

objective_staffexhausted                员工疲惫不堪
objective_reststaff_exhausted           *X 名员工已经疲惫不堪
objective_reststaff_resting             （ *X 名员工正在休息）
objective_reststaff_needstaffroom       建立员工休息室，这样他们累了就可以休息了

objective_punishment_solitary           *X 人在单独禁闭
objective_punishment_solitary_queue     *X 人等待单独禁闭
objective_punishment_solitary_mix       *X 人在单独禁闭 (+ *Y 等待)
objective_punishment_lockdown           *X 人在防范禁闭
objective_incident_medical              *X 需要治疗
objective_incident_dead                 *X 具尸体

objective_prisonerparole                罪犯假释
objective_parole_count                  *X 罪犯可以获得假释

objective_payment_receivedfull          报酬: *X 已收到
objective_payment_receivedpart          报酬: *X 已收到 总量 *Y

objective_grant_bootstraps                  基础拘留中心
objective_grant_bootstraps_description      把一片空地变成一座正常运作的监狱。政府的合约为你提供了建造监狱基础设施所必须的资金。
objective_grant_bootstraps_holdingcell      建造牢房
objective_grant_bootstraps_shower           建造淋浴房
objective_grant_bootstraps_yard             建造庭院
objective_grant_bootstraps_kitchen          建造厨房
objective_grant_bootstraps_canteen          建造食堂
objective_grant_bootstraps_guard            雇用至少两名警卫
objective_grant_bootstraps_chef             雇佣至少两名厨师

objective_grant_administration                          行政中心
objective_grant_administration_description              每个监狱项目需要一个健全的行政设施，以确保顺利运作，使该项目正常发挥作用。\n\n这个合同为一位典狱长、一位会计师和他们的办公室提供了经费，可以让我们使用完备的联邦行政系统
objective_grant_administration_offices                  建造两个办公室
objective_grant_administration_warden                   雇佣一位典狱长
objective_grant_administration_accountant_research      通过行政系统解锁财政
objective_grant_administration_accountant               雇用一名会计

objective_grant_firstcellblock                  囚室 A
objective_grant_firstcellblock_description      基础设施已经建立并运作了。现在是时候建造第一间牢房，\n\n把现有的囚犯转入他们自己的牢房了
objective_grant_firstcellblock_cells            将监狱牢房的容量提高到15人

objective_grant_health                      健康和幸福
objective_grant_health_description          这些犯人的生理和心理健康对于我们来说很重要。该项许可用于\n\n促进先进内科病房的建设，以及雇佣医生和心理医生来照顾有需要的囚犯
objective_grant_health_ward                 建立医疗病房
objective_grant_health_doctors              雇佣至少两名医生
objective_grant_health_psychologist         雇佣一名心理学家（需要一个办公室）

objective_grant_bailout                     政府救援
objective_grant_bailout_description         政府对你的表现很不满意，但是他们认为你的监狱太大了不能倒闭。纳税人的资金将被用来防止监狱破产。然而你必须平衡你的帐目——让你的监狱回归正现金流（每日收入高于支出），并且偿还银行贷款。
objective_grant_bailout_cashflow            收入高于支出
objective_grant_bailout_debt                清偿债务


objective_grant_maintenance                         维护监狱
objective_grant_maintenance_description             监狱和运动场的基本保养与维护非常重要，关乎工作人员和犯人的安全。雇佣一些必要的人员让你的监狱整洁有序。
objective_grant_maintenance_research_root           通过行政系统解锁维护
objective_grant_maintenance_research_cleaning       通过行政系统解锁清理
objective_grant_maintenance_research_groundskeeping 通过行政系统解锁维护运动场
objective_grant_maintenance_foreman                 雇佣一个组长（需要一间办公室）
objective_grant_maintenance_janitor                 雇佣两个看门人
objective_grant_maintenance_gardener                雇佣一个园丁

objective_grant_visitation                          探访权
objective_grant_visitation_description              由于无法满足犯人的探视权力，这片区域许多其他的设施正面临诉讼。投资者们不希望陷入丑闻，他们正提供拨款以确保设施正常运作。
objective_grant_visitation_room                     建造1个探访室
objective_grant_visitation_tables                   添加至少3张探访桌
objective_grant_visitation_commonroom               建造普通房间
objective_grant_visitation_pooltable                添加台球桌
objective_grant_visitation_tv                       添加至少2台电视机
objective_grant_visitation_phones                   建造至少5个电话亭

objective_grant_basicsecurity                       安全程序认证
objective_grant_basicsecurity_description           因为员工没有经验，所以新监狱有一些常见安全漏洞。增加安保强度来避免出现一些会影响我们声誉的问题。
objective_grant_basicsecurity_chief                 雇用一名安全专家（需要一个办公室）
objective_grant_basicsecurity_guards                雇用十个守卫
objective_grant_basicsecurity_patrols               将三名守卫分配到巡逻路线
objective_grant_basicsecurity_research              通过行政系统解锁巡逻队

objective_grant_enhancedsecurity                    政府安全评级
objective_grant_enhancedsecurity_description        政府对超过特定规模大小的监狱安全有特定要求，并会重罚那些存在不足的监狱。确保这方面不会出现问题。
objective_grant_enhancedsecurity_armoury            建立一座兵工厂
objective_grant_enhancedsecurity_kennel             建立一座狗舍
objective_grant_enhancedsecurity_guards             雇用两名武装守卫
objective_grant_enhancedsecurity_dogs               雇用两名驯狗师
objective_grant_enhancedsecurity_patroldogs         将两名驯狗师分配到一个猎犬巡逻队
objective_grant_enhancedsecurity_patrolarmed        将两名武装守卫分配到一个巡逻队

objective_grant_advancedsecurity                    实行最高保安级别设施
objective_grant_advancedsecurity_description        保证大量罪人的安全或许很难，但是违背规定的花销远比实施适当的安保措施花销大得多。在你的监狱中安装必要的仪器设备。
objective_grant_advancedsecurity_guards             提高你的保安部队规模
objective_grant_advancedsecurity_researchcctv       通过行政系统解锁闭路电视
objective_grant_advancedsecurity_researchbodyarmour 通过行政系统解锁防弹衣
objective_grant_advancedsecurity_researchtazers     通过行政系统解锁电击器
objective_grant_advancedsecurity_office             建造一座安保办公室
objective_grant_advancedsecurity_cctvmonitor        建造一个闭路电视监视器
objective_grant_advancedsecurity_cctvcameras        在你的监狱中安置闭路电视摄像头

objective_grant_prisonerworkforce                   犯人适应和约束
objective_grant_prisonerworkforce_description       让犯人在你的监狱中工作是在削减开支的同时将他们融入环境的好方法。完成必要的训练并建造必要的设备来使你的犯人进行工作。
objective_grant_prisonerworkforce_research          通过行政系统解锁犯人劳动
objective_grant_prisonerworkforce_cleaning          建造一个橱柜清洗间
objective_grant_prisonerworkforce_laundry           建造一个洗衣房
objective_grant_prisonerworkforce_kitchenclass      让三名犯人完成厨房安全和卫生课程
objective_grant_prisonerworkforce_laundryassigned   将三名犯人分配到洗衣房工作
objective_grant_prisonerworkforce_kitchenassigned   将三名犯人分配到厨房工作
objective_grant_prisonerworkforce_cleaningassigned  将三名犯人分配到橱柜清洗间工作

objective_grant_educationreformprogram              教育改革计划
objective_grant_educationreformprogram_description  一些活动小组在奋力争取在监狱中实施教育课程的工作中获得了支持。建立几间教室并让他们支持我们。
objective_grant_educationreformprogram_research     通过行政系统解锁教育
objective_grant_educationreformprogram_classroom    建造一间教室
objective_grant_educationreformprogram_desks        建造二十张学校用桌
objective_grant_educationreformprogram_foundationed 让十五名犯人通过基础教育课程
objective_grant_educationreformprogram_generaled    让五名犯人通过普通教育课程

objective_grant_prisonlabour                        监狱生产设施
objective_grant_prisonlabour_description            投资人想让你增加你的监狱的利润，希望投资资金来帮助建立车间并将你的犯人转变为劳动力。
objective_grant_prisonlabour_workshop               建造一间车间
objective_grant_prisonlabour_saw                    建造两把车间用锯
objective_grant_prisonlabour_press                  建造两把车间用压力机
objective_grant_prisonlabour_reform                 让五名犯人通过车间安全课程
objective_grant_prisonlabour_plates                 生产30张许可牌照

objective_grant_furnituremanufacturing              木工学徒计划
objective_grant_furnituremanufacturing_description  向你的犯人提供木工课程能够教会他们一项他们获释时可以利用的有价值的技能，并让他们在你的车间里生产高质量的家具，其能被售出来增加收入。
objective_grant_furnituremanufacturing_forestry     建造一片林地
objective_grant_furnituremanufacturing_table        建造两张木工桌
objective_grant_furnituremanufacturing_reform       让两名犯人通过木工课程
objective_grant_furnituremanufacturing_bed          生产十张优秀床铺

objective_grant_reducestaffstress                   员工健康倡议
objective_grant_reducestaffstress_description       监狱公会已经收到了员工过分紧张和过度工作的报告，这已经到了能够犯错误的程度。确保相似的事件在你的设施中不会发生。
objective_grant_reducestaffstress_staffroom         建造一间员工休息室
objective_grant_reducestaffstress_freeguards        让至少五名守卫不被安排职责
objective_grant_reducestaffstress_restedstaff       确保你的员工中无人疲惫

objective_grant_shortterminvestment                 短期投资
objective_grant_shortterminvestment_description     将钱财用于投资资金，这最终能够给你与你的初始投资额相称的合理回报。
objective_grant_shortterminvestment_wait            等待资金……

objective_grant_longterminvestment                  长期投资
objective_grant_longterminvestment_description      将钱财用于长期投资，并最终给予你与你的初始投资额相称的大量回报。
objective_grant_longterminvestment_wait             等待资金……

objective_grant_cellblock50                         牢房区B
objective_grant_cellblock50_description             是时候扩建你的监狱了，使其不仅仅是一个简单的收容场所。
objective_grant_cellblock50_cells                   将你的犯人容量提高到50

objective_grant_cellblock100                        牢房区C
objective_grant_cellblock100_description            通过继续扩建监狱来充分利用土地。
objective_grant_cellblock100_cells                  将你的犯人容量提高到100

objective_grant_cellblock200                        牢房区D
objective_grant_cellblock200_description            更多犯人意味着更多政府资金。
objective_grant_cellblock200_cells                  将你的犯人容量提高到200

objective_grant_cellblock500                        牢房区E
objective_grant_cellblock500_description            政府会为最大的监狱提供非常多的财政激励。是时候朝这个目标努力了。
objective_grant_cellblock500_cells                  将你的犯人容量提高到500

objective_grant_nutritionresearch                   犯人营养调查
objective_grant_nutritionresearch_description       一个独立的调查小组愿意提供资金来参加一个关于不同的同住者饮食习惯影响的实验。
objective_grant_nutritionresearch_poor              两天中每天提供1餐低份量低种类餐食。
objective_grant_nutritionresearch_good              两天中每天提供3餐高份量高种类餐食。

objective_grant_drugsearch                          取缔毒品
objective_grant_drugsearch_description              近来大监狱中的毒品使用越来越受人关注。采取主动力场并让人看看你在处理这个问题。
objective_grant_drugsearch_find                     找到十份违法毒品

objective_grant_contrabandsupply                    清除工具
objective_grant_contrabandsupply_description        随着其他监狱中涉及偷窃物品的时间，一个组织正在监狱中针对工具和武器的分布做调查研究。实验的这部分包括尝试着从你的犯人那儿夺走所有类似的物品。
objective_grant_contrabandsupply_tools              移除偷窃工具的供给
objective_grant_contrabandsupply_weapons            移除偷窃武器的供给

grant_category_completed                            已完成：
grant_category_unlocked                             已解锁：
grant_category_cash                                 现金：
grant_category_cashflow                             现金流：
grant_category_debt                                 欠债：
grant_category_prisoners                            囚犯数：

grant_property_atleast                              最低*X
grant_property_atmost                               不高于*X


# =============================================================================
# Materials
# =============================================================================
                                              
                                                                                                       
object_none                              无
object_box                               盒子
object_stack                             堆
object_bed                               床
object_toilet                            厕所
object_table                             桌子
object_chair                             椅子
object_bench                             板凳
object_electricchair                     电椅
object_jaildoor                          监狱门
object_jaildoorlarge                     大型监狱门
object_door                              门
object_solitarydoor                      单独禁闭门
object_staffdoor                         员工门
object_remotedoor                        遥控门
object_roadgate                          道路大门
object_jailbars                          牢房栏杆
object_window                            窗户
object_windowlarge                       大型窗户
object_tree                              树
object_light                             灯
object_cooker                            厨具
object_fridge                            冰箱
object_bin                               桶
object_sink                              水槽
object_servingtable                      服务台
object_showerhead                        花洒喷头
object_brick                             砖
object_concrete                          混凝土
object_steel                             钢
object_ingredients                       材料
object_ingredientscooking                材料（正在烹饪）
object_ingredientscooked                 材料（已烹饪好）
object_ingredientsspoiled                成分（已变质）
object_meal                              餐食
object_foodtray                          食品托盘
object_foodtraydirty                     食品托盘（脏）
object_grassturf                         草坪
object_prisoneruniform                   囚服
object_dirtyprisoneruniform              囚服（脏）
object_crumpledprisoneruniform           囚服（皱）
object_bleach                            漂白剂
object_sheetmetal                        金属薄片
object_licenseplateblank                 车牌（空）
object_licenseplate                      车牌
object_log                               圆木
object_wood                              木头
object_workman                           工人
object_truckdriver                       卡车司机
object_guard                             警卫
object_riotguard                         防暴警卫
object_armedguard                        武装警卫
object_prisoner                          犯人
object_doctor                            医生
object_paramedic                         急救人员
object_cook                              厨师
object_gardener                          园丁
object_janitor                           清洁工
object_fireman                           消防员
object_avatar                            替身
object_actor                             演员
object_visitor                           访客
object_executionwitness                  处决目击者
object_doghandler                        训犬师
object_dog                               警犬
object_dogcrate                          狗舍
object_teacher                           教师
object_soldier                           士兵
object_warden                            典狱长
object_chief                             保安主管
object_foreman                           工头
object_psychologist                      心理学家
object_accountant                        会计
object_lawyer                            律师
object_supplytruck                       供给卡车
object_prisonerbus                       囚犯巴士
object_fireengine                        消防车
object_riotvan                           防暴车
object_ambulance                         救护车
object_hearse                            灵车
object_trooptruck                        运兵车
object_fire                              火
object_garbage                           垃圾
object_rubble                            瓦砾
object_bookshelf                         书架
object_officedesk                        办公桌子
object_filingcabinet                     文件柜
object_medicalbed                        医疗床
object_morgueslab                        停尸台
object_equipment                         装备
object_prop                              道具
object_dummy                             假人
object_powerstation                      电站
object_capacitor                         电容器
object_electricalcable                   电缆
object_powerswitch                       电源开关
object_logiccircuit                      逻辑电路
object_logicbridge                       逻辑桥
object_waterpumpstation                  水泵站
object_pipevalve                         管道阀门
object_pipelarge                         大型管道
object_pipesmall                         小型管道
object_drain                             排水渠
object_sprinkler                         自动灭火器
object_metaldetector                     金属探测器
object_weightsbench                      举重台
object_phonebooth                        电话亭
object_tv                                电视
object_largetv                           大型电视
object_pooltable                         台球桌
object_polaroid                          拍立得
object_cctv                              监控系统
object_cctvmonitor                       闭路电视监控
object_laundrymachine                    洗衣机
object_laundrybasket                     洗衣篮
object_ironingboard                      烫衣板
object_visitortable                      访客桌
object_workshopsaw                       电锯工作台
object_workshoppress                     作业冲压机
object_carpentertable                    木匠工作台
object_boombox                           立体扬声器
object_guardlocker                       警卫更衣柜
object_sofachairsingle                   沙发
object_sofachairdouble                   宽沙发
object_drinkmachine                      饮水机
object_arcadecabinet                     过道箱
object_radio                             无线电
object_bookshelflarge                    图书馆书架
object_weaponrack                        武器架
object_treestump                         树桩
object_schooldesk                        书桌
object_superiorbed                       高级床
object_doorcontrolsystem                 门控系统
object_phonemonitor                      电话窃听
object_servo                             门伺服器
object_doortimer                         狱门计时器
object_pressurepad                       压力板
object_statuslight                       状况灯
object_wire                              连接
object_dismantleobject                   拆除对象
object_dismantleutility                  拆除设施
object_sellobject                        出售物品
object_canceljobs                        取消工作
object_showallwires                      显示电路
object_tidywires                         整齐的线缆
object_cutscenepolaroid                  宝丽来动画
object_cutscenecamera                    监控摄像头
object_cutscenecue                       动画提示
object_foodwaste                         食物浪费
object_altar                             神坛
object_pews                              长凳
object_prayermat                         跪垫
object_paroleofficer                     假释官
object_parolelawyer                      假释律师
object_spiritualleader                   精神领袖
object_librarybookshelf                  图书馆书架
object_librarybookunsorted               图书馆书籍（未分类）
object_librarybooksorted                 图书馆书籍（已分类）
object_sortingtable                      分拣台
object_ruinedbook                        毁坏的书
object_foodbowl                          食物
object_appealslawyer                     上诉律师
object_appealsmagistrate                 上诉法官
object_mailsatchel                       邮差包
object_mailunsorted                      未分类邮件
object_mailsorted                        已分类邮件
object_prisonermail                      邮件
object_prisonermailopened                邮件（已打开）
object_shopfront                         商店前台
object_shopgoods                         商店货物
object_shopshelf                         商店货架

material_none                            无
material_building                        建筑（砖）
material_buildingconcrete                建筑（混凝土）
material_demolish                        铲平
material_clearindoorarea                 清除室内区域
material_demolishwalls                   拆墙
material_removetunnels                   拆除地道
material_canceljobs                      取消工作
material_dirt                            灰尘
material_sand                            砂砾
material_pavingstone                     铺路石
material_grass                           草
material_gravel                          砾石
material_road                            路
material_roadmarkings                    路标
material_roadmarkingsleft                路标（左）
material_roadmarkingsright               路标（右）
material_stone                           石头
material_fence                           栅栏
material_concretetiles                   混凝土砖
material_concretefloor                   混凝土地板
material_woodenfloor                     木地板
material_ceramicfloor                    陶瓷地板
material_mosaicfloor                     拼花地板
material_metalfloor                      金属地板
material_marbletiles                     大理石瓷砖
material_whitetiles                      白色瓷砖
material_fancytiles                      花式瓷砖
material_concretewall                    混凝土墙
material_brickwall                       砖墙
